,y
1277,no
1278,no
1279,no
1280,no
1282,no
1283,no
1284,no
1285,no
1286,no
1287,no
1288,no
1290,no
1292,no
1293,no
1297,no
1298,no
1299,no
1300,no
1301,no
1302,no
1303,no
1304,no
1305,no
1307,no
1308,no
1309,no
1310,no
1311,no
1312,no
1313,no
1314,no
1315,no
1316,no
1317,no
1318,no
1319,yes
1320,no
1321,no
1322,no
1323,no
1324,no
1325,no
1326,no
1327,no
1328,no
1329,no
1330,no
1332,no
1333,no
1334,no
1335,no
1336,no
1337,no
1338,no
1340,no
1341,no
1342,no
1343,no
1344,no
1347,no
1348,yes
1349,no
1350,no
1351,no
1353,no
1354,no
1355,no
1356,no
1357,no
1358,no
1360,no
1361,no
1362,no
1363,no
1364,no
1365,no
1366,no
1368,no
1369,no
1370,no
1371,no
1372,no
1373,no
1374,no
1375,no
1376,no
1377,no
1378,no
1379,no
1380,no
1382,no
1383,no
1384,no
1385,no
1386,no
1387,no
1388,no
1390,no
1391,no
1392,no
1393,no
1394,no
1395,no
1396,yes
1397,no
1398,no
1399,no
1400,no
1401,no
1402,no
1403,no
1404,no
1406,no
1407,no
1408,no
1409,no
1410,no
1411,no
1412,no
1413,no
1415,no
1416,no
1417,no
1418,no
1419,no
1420,no
1421,no
1423,no
1424,no
1426,no
1427,no
1428,no
1430,no
1431,no
1432,no
1435,no
1437,no
1438,no
1440,no
1441,no
1442,yes
1445,no
1446,no
1447,no
1448,no
1451,no
1452,no
1453,no
1454,no
1456,no
1458,no
1459,no
1460,no
1461,no
1462,no
1463,no
1464,no
1465,no
1466,no
1467,no
1468,no
1469,no
1470,no
1472,no
1474,no
1475,no
1476,no
1477,no
1478,no
1481,no
1482,no
1483,no
1486,no
1488,no
1489,no
1490,no
1492,no
1493,no
1494,no
1495,no
1496,no
1497,no
1498,no
1499,no
1500,no
1501,yes
1502,no
1503,no
1506,no
1507,no
1508,no
1510,no
1511,no
1512,no
1513,no
1514,no
1515,no
1516,no
1517,no
1518,no
1519,no
1520,no
1521,no
1522,no
1523,no
1524,no
1527,no
1529,no
1530,no
1531,no
1532,no
1534,no
1535,no
1536,no
1538,no
1539,no
1540,no
1541,no
1542,no
1543,no
1545,no
1546,no
1548,no
1549,no
1551,no
1552,no
1553,no
1555,no
1556,no
1557,no
1558,no
1559,no
1560,no
1561,no
1563,no
1564,no
1566,no
1567,no
1568,no
1570,no
1572,no
1573,no
1574,no
1575,no
1577,no
1578,no
1579,no
1580,no
1581,no
1582,no
1583,no
1584,no
1585,no
1588,no
1589,no
1590,no
1591,no
1592,no
1593,no
1594,no
1595,no
1596,no
1597,no
1598,no
1599,no
1600,no
1601,no
1602,no
1603,no
1604,no
1605,no
1606,no
1607,no
1608,yes
1609,no
1611,no
1612,no
1613,yes
1614,no
1617,no
1618,no
1620,no
1622,no
1624,no
1625,no
1628,no
1629,no
1630,no
1631,no
1632,yes
1633,no
1634,no
1635,no
1636,yes
1637,no
1639,no
1640,no
1641,no
1642,no
1643,no
1644,no
1645,no
1646,no
1647,no
1648,no
1650,no
1651,no
1652,no
1653,no
1654,no
1655,yes
1657,no
1658,no
1660,no
1661,no
1662,no
1663,no
1664,no
1665,no
1666,no
1667,no
1669,no
1670,no
1672,no
1673,no
1675,no
1677,no
1678,no
1679,no
1680,no
1681,no
1682,no
1685,no
1689,no
1690,no
1692,no
1693,no
1694,no
1695,no
1696,no
1697,no
1699,no
1700,no
1701,no
1702,no
1703,no
1704,no
1705,no
1706,no
1707,no
1708,no
1709,no
1710,no
1711,no
1712,no
1715,no
1716,no
1717,no
1718,no
1720,no
1721,no
1723,no
1724,no
1726,no
1727,no
1730,no
1731,no
1732,no
1734,no
1736,no
1737,no
1738,no
1739,no
1740,no
1741,no
1742,no
1743,no
1744,no
1745,no
1746,no
1747,no
1748,no
1749,no
1751,no
1753,no
1754,no
1756,no
1757,no
1758,no
1759,no
1760,no
1761,no
1762,no
1763,yes
1764,no
1766,no
1769,no
1772,no
1773,no
1775,no
1776,no
1777,no
1778,no
1779,no
1780,no
1781,no
1784,no
1785,no
1786,no
1787,no
1788,no
1789,no
1790,no
1792,no
1793,no
1794,no
1795,no
1796,no
1797,no
1798,no
1799,no
1800,no
1802,no
1803,no
1804,no
1805,no
1806,no
1807,no
1808,no
1809,yes
1810,no
1811,no
1812,no
1813,no
1814,no
1815,no
1816,no
1817,no
1818,no
1819,yes
1820,no
1821,no
1822,no
1823,no
1825,no
1826,no
1827,no
1828,no
1829,no
1830,no
1831,no
1833,no
1834,no
1837,no
1838,no
1839,no
1840,no
1841,no
1842,no
1843,no
1844,no
1845,no
1846,no
1847,no
1848,no
1849,no
1850,no
1851,no
1852,no
1853,no
1854,no
1855,no
1856,no
1857,no
1859,no
1860,no
1861,no
1862,no
1863,no
1864,no
1865,no
1866,no
1867,no
1868,no
1869,no
1870,no
1871,no
1872,no
1874,no
1875,no
1876,no
1877,no
1880,no
1882,no
1883,no
1885,no
1886,no
1887,no
1888,no
1889,no
1890,no
1891,no
1892,no
1894,no
1895,no
1896,no
1897,no
1898,no
1899,no
1901,no
1902,no
1904,no
1905,no
1906,no
1907,no
1909,no
1910,no
1911,no
1912,no
1914,no
1915,no
1917,no
1919,no
1920,no
1921,no
1922,no
1923,no
1924,no
1925,no
1926,no
1927,no
1928,no
1929,no
1930,no
1931,no
1932,no
1933,no
1934,no
1935,no
1936,no
1937,no
1939,no
1941,no
1942,no
1943,no
1945,no
1947,no
1948,no
1949,no
1951,no
1952,no
1953,no
1954,no
1955,no
1956,no
1957,no
1958,no
1959,no
1960,no
1961,no
1963,no
1964,no
1965,no
1966,no
1968,no
1970,no
1971,no
1972,no
1974,no
1975,no
1977,no
1978,no
1979,no
1980,no
1981,no
1983,no
1984,no
1985,no
1987,no
1988,no
1989,no
1990,no
1991,no
1994,no
1996,no
1999,no
2001,no
2003,no
2004,no
2005,no
2006,no
2007,no
2008,no
2009,no
2010,no
2011,no
2012,no
2013,no
2014,no
2015,no
2016,no
2017,no
2018,no
2019,no
2021,no
2022,no
2024,no
2026,no
2027,no
2028,no
2030,no
2032,no
2034,no
2035,no
2036,no
2038,no
2040,no
2041,no
2042,no
2043,no
2044,no
2045,no
2047,no
2048,no
2050,no
2051,no
2052,no
2053,no
2056,no
2057,no
2059,no
2060,no
2061,no
2062,no
2064,yes
2065,no
2066,no
2068,no
2069,no
2070,no
2073,no
2075,no
2077,no
2078,no
2079,no
2080,no
2081,no
2082,no
2083,no
2085,no
2086,no
2089,no
2090,no
2091,no
2092,no
2093,no
2094,no
2095,no
2097,no
2098,no
2099,no
2100,no
2101,no
2102,no
2103,no
2104,yes
2105,no
2107,no
2109,no
2113,no
2114,no
2115,no
2116,no
2117,no
2118,no
2119,no
2120,no
2124,no
2125,no
2126,no
2127,no
2128,no
2130,no
2131,no
2132,no
2134,no
2135,no
2137,no
2138,no
2139,no
2140,no
2141,no
2142,no
2143,no
2144,no
2146,no
2147,no
2148,no
2149,no
2150,no
2152,no
2154,no
2155,no
2156,no
2159,no
2160,no
2161,no
2162,no
2163,no
2164,no
2165,no
2166,no
2167,no
2168,no
2169,no
2170,no
2171,no
2172,no
2173,no
2174,no
2175,no
2176,no
2177,no
2179,no
2181,no
2182,no
2184,no
2185,no
2186,no
2187,no
2189,no
2190,no
2191,no
2192,no
2194,no
2195,no
2196,no
2197,no
2199,no
2200,no
2203,no
2204,no
2208,no
2209,no
2210,no
2211,no
2212,no
2213,no
2215,no
2218,no
2219,no
2220,no
2221,no
2222,no
2223,no
2224,no
2225,no
2227,no
2228,no
2229,no
2230,no
2231,no
2233,no
2235,no
2236,no
2237,no
2238,no
2239,no
2240,no
2241,no
2242,no
2244,no
2245,no
2246,no
2247,no
2250,no
2251,no
2252,no
2253,no
2254,no
2255,no
2256,no
2257,yes
2258,no
2259,no
2260,no
2263,no
2266,no
2267,no
2268,no
2270,no
2273,no
2274,no
2275,yes
2277,no
2278,no
2280,no
2282,no
2283,no
2284,no
2285,no
2286,no
2287,no
2288,no
2289,no
2290,no
2291,no
2293,no
2294,no
2295,no
2296,no
2297,no
2298,no
2300,no
2301,no
2302,no
2303,no
2304,no
2305,yes
2306,no
2307,no
2309,no
2310,no
2311,no
2312,no
2313,no
2314,no
2315,yes
2316,yes
2318,no
2321,no
2322,no
2323,no
2324,no
2326,no
2327,no
2328,no
2330,yes
2332,no
2333,no
2334,no
2335,no
2336,no
2338,no
2339,no
2340,no
2341,no
2342,no
2343,no
2344,no
2345,no
2346,no
2347,no
2348,no
2350,no
2351,no
2352,no
2353,no
2355,no
2356,no
2357,no
2359,no
2360,no
2361,no
2362,no
2363,no
2364,no
2365,no
2366,no
2367,no
2368,no
2369,no
2370,no
2371,no
2372,no
2373,no
2374,no
2375,no
2376,no
2377,no
2379,no
2380,no
2381,no
2382,no
2383,no
2384,no
2386,no
2387,no
2388,no
2389,no
2390,no
2391,no
2392,no
2393,no
2394,no
2395,no
2396,no
2397,no
2398,no
2399,no
2401,no
2403,no
2404,no
2405,no
2406,yes
2408,no
2410,no
2411,no
2412,no
2413,no
2414,no
2415,no
2417,yes
2419,no
2420,no
2421,yes
2423,no
2425,no
2427,no
2428,no
2430,no
2431,no
2432,no
2433,no
2435,no
2437,no
2438,no
2439,no
2440,no
2442,no
2443,no
2444,yes
2445,no
2446,no
2448,no
2449,yes
2450,no
2451,no
2453,no
2454,no
2455,no
2458,no
2460,no
2461,no
2462,no
2463,no
2464,no
2465,no
2466,no
2467,no
2470,no
2471,no
2472,no
2473,yes
2474,no
2475,no
2477,no
2479,no
2480,no
2481,no
2482,no
2483,no
2484,no
2485,no
2486,no
2487,no
2489,no
2490,no
2491,no
2492,no
2493,no
2494,no
2495,no
2496,no
2497,no
2498,no
2499,no
2500,no
2502,no
2503,no
2504,no
2505,no
2507,no
2508,no
2509,no
2510,no
2511,no
2513,no
2514,no
2515,no
2519,no
2520,no
2521,no
2522,no
2523,no
2525,no
2527,no
2528,no
2531,no
2533,no
2534,no
2535,no
2536,no
2538,no
2540,no
2541,no
2542,no
2543,no
2544,no
2546,no
2547,no
2548,no
2549,no
2551,no
2554,no
2556,no
2557,no
2558,no
2559,no
2560,no
2561,no
2565,no
2566,no
2567,no
2568,no
2569,no
2570,no
2571,no
2572,no
2574,no
2575,no
2576,no
2577,no
2578,no
2579,no
2580,no
2581,no
2582,no
2584,no
2586,no
2587,no
2588,no
2589,no
2590,no
2592,no
2593,no
2594,no
2595,no
2596,no
2597,no
2598,no
2599,no
2600,no
2601,no
2602,no
2603,no
2604,no
2605,no
2607,no
2609,no
2610,no
2611,no
2612,no
2613,no
2618,no
2619,no
2620,no
2621,no
2622,no
2623,no
2624,no
2625,no
2626,no
2628,no
2629,no
2630,no
2631,no
2632,no
2633,no
2635,yes
2636,no
2637,no
2639,no
2640,no
2642,no
2643,no
2644,no
2645,yes
2646,no
2647,no
2648,no
2649,no
2651,no
2652,no
2654,no
2655,no
2656,no
2658,no
2659,no
2660,no
2661,no
2662,no
2663,no
2665,no
2666,no
2667,no
2668,no
2669,no
2670,no
2671,no
2672,no
2673,no
2674,no
2675,no
2676,no
2677,no
2678,no
2679,no
2680,no
2681,no
2682,no
2683,no
2684,yes
2685,no
2686,no
2687,no
2689,no
2690,no
2692,no
2693,no
2694,no
2696,no
2697,yes
2698,no
2699,no
2701,no
2702,no
2704,no
2705,no
2706,no
2707,no
2708,no
2709,no
2710,no
2713,yes
2714,no
2715,no
2716,no
2717,no
2718,no
2719,no
2721,no
2723,no
2724,no
2726,no
2727,no
2728,no
2729,no
2731,no
2733,no
2734,no
2735,no
2736,no
2738,no
2739,no
2740,no
2741,no
2743,no
2744,yes
2745,no
2746,no
2747,no
2748,no
2750,no
2751,no
2752,no
2754,no
2755,yes
2757,no
2758,no
2760,no
2762,no
2763,yes
2764,no
2766,no
2767,no
2768,no
2769,no
2770,no
2771,no
2773,no
2774,no
2775,yes
2776,no
2777,no
2779,yes
2780,no
2781,no
2782,no
2783,no
2784,no
2785,no
2786,no
2787,no
2788,no
2789,no
2790,no
2791,no
2794,no
2795,no
2796,no
2797,no
2798,no
2800,no
2801,no
2802,no
2803,no
2804,no
2805,no
2806,no
2807,no
2809,no
2811,no
2812,no
2813,no
2815,no
2817,no
2818,no
2819,no
2820,no
2821,no
2822,no
2823,no
2824,no
2825,no
2826,no
2827,no
2830,no
2832,no
2833,no
2834,no
2835,no
2837,no
2838,no
2839,no
2843,no
2844,no
2845,no
2846,no
2847,no
2848,no
2849,no
2850,no
2851,no
2852,no
2854,no
2855,no
2857,no
2858,no
2859,no
2860,no
2861,no
2862,no
2863,no
2864,no
2865,no
2867,no
2868,no
2874,no
2875,no
2876,no
2877,no
2878,no
2879,no
2880,no
2881,no
2882,no
2884,no
2885,no
2886,no
2887,no
2888,no
2889,no
2890,no
2891,no
2892,no
2893,no
2894,no
2895,no
2896,no
2897,no
2898,no
2899,no
2900,no
2901,no
2903,no
2904,no
2905,yes
2906,no
2907,no
2908,no
2909,no
2910,no
2913,no
2914,no
2915,no
2916,no
2918,no
2919,no
2920,no
2921,no
2922,no
2924,no
2925,no
2927,no
2928,no
2929,no
2931,no
2932,no
2934,no
2935,no
2937,no
2938,no
2939,no
2940,no
2941,no
2942,no
2943,no
2944,no
2945,no
2946,no
2947,no
2948,no
2949,no
2950,no
2951,no
2952,no
2953,no
2954,no
2955,no
2956,no
2957,no
2958,no
2959,no
2960,no
2964,no
2965,no
2966,no
2968,no
2969,no
2970,no
2971,no
2972,no
2974,no
2975,no
2976,no
2977,no
2978,no
2979,no
2980,no
2981,no
2983,no
2985,no
2986,no
2987,no
2988,no
2990,no
2991,no
2992,no
2993,no
2994,no
2995,no
2996,no
2997,no
2998,no
3000,no
3001,no
3002,no
3003,no
3004,no
3005,no
3006,no
3007,no
3010,no
3011,no
3012,no
3013,no
3015,no
3016,no
3018,no
3019,no
3020,no
3021,no
3023,no
3024,no
3025,no
3026,no
3028,no
3029,no
3030,no
3031,no
3032,no
3033,no
3034,no
3035,no
3036,no
3037,no
3039,no
3040,no
3041,no
3043,no
3044,no
3048,no
3049,no
3050,no
3051,no
3052,no
3053,no
3055,no
3056,no
3057,no
3058,no
3059,no
3060,no
3061,no
3062,no
3064,no
3065,no
3066,no
3068,no
3069,no
3070,no
3071,no
3072,no
3074,no
3076,no
3078,no
3081,no
3082,no
3083,no
3084,no
3085,no
3086,no
3087,no
3088,no
3092,no
3093,no
3094,no
3095,no
3100,no
3102,no
3103,no
3104,no
3105,no
3106,no
3111,no
3112,no
3114,no
3115,no
3116,no
3117,no
3118,no
3119,no
3120,no
3121,no
3122,no
3124,no
3125,no
3126,no
3127,no
3129,no
3130,no
3131,no
3132,no
3133,no
3134,no
3135,no
3136,no
3137,no
3138,no
3140,no
3141,no
3142,no
3143,no
3144,no
3145,no
3148,no
3149,no
3150,no
3151,no
3153,no
3155,no
3156,no
3158,no
3159,no
3160,no
3161,no
3162,no
3163,no
3164,no
3165,no
3166,no
3167,no
3168,no
3170,no
3171,no
3172,no
3173,no
3175,no
3176,no
3177,no
3178,no
3179,no
3180,no
3181,no
3182,no
3183,yes
3184,no
3186,no
3187,no
3188,no
3189,no
3190,no
3192,no
3193,no
3195,no
3196,no
3197,no
3200,no
3201,no
3202,no
3203,yes
3206,no
3207,no
3208,no
3209,no
3210,no
3211,no
3212,no
3213,no
3214,no
3215,no
3216,no
3217,no
3218,no
3219,yes
3220,no
3221,no
3222,no
3223,yes
3224,no
3226,no
3227,no
3228,no
3230,no
3233,no
3235,no
3236,no
3237,no
3239,no
3240,no
3241,no
3242,no
3243,no
3245,no
3246,no
3247,no
3248,no
3249,no
3250,no
3251,no
3252,no
3253,no
3254,no
3255,no
3256,no
3257,no
3260,no
3261,no
3262,no
3263,no
3264,yes
3265,no
3267,no
3268,no
3269,no
3270,no
3271,no
3272,no
3273,no
3274,no
3275,no
3278,no
3279,no
3280,no
3281,no
3282,no
3284,no
3285,no
3287,no
3288,no
3289,no
3290,no
3292,no
3294,no
3295,no
3296,no
3297,no
3298,no
3299,no
3300,no
3301,no
3302,no
3305,no
3306,no
3308,no
3310,no
3311,no
3312,no
3315,no
3316,no
3317,no
3318,no
3319,no
3320,no
3321,no
3322,no
3323,no
3324,no
3326,no
3327,no
3328,no
3329,no
3331,no
3332,no
3333,no
3334,no
3335,no
3336,no
3337,no
3338,yes
3339,no
3340,no
3341,no
3342,no
3345,no
3346,no
3347,no
3348,no
3352,no
3353,no
3354,no
3355,no
3356,no
3357,no
3358,no
3360,no
3361,no
3366,no
3367,no
3368,no
3369,no
3370,no
3371,no
3372,no
3375,no
3376,no
3377,no
3379,no
3380,no
3383,no
3384,yes
3385,no
3386,no
3387,no
3388,no
3390,no
3392,no
3394,no
3395,yes
3396,no
3398,no
3399,no
3400,no
3402,no
3403,no
3404,no
3405,no
3406,no
3408,no
3409,no
3410,no
3411,no
3412,no
3413,no
3414,no
3417,no
3418,no
3419,no
3420,no
3422,no
3423,no
3425,no
3426,no
3427,yes
3428,no
3430,no
3431,no
3432,no
3433,no
3434,no
3435,no
3436,yes
3437,no
3438,no
3439,no
3440,no
3441,no
3443,no
3444,no
3445,no
3446,no
3447,no
3448,no
3450,no
3451,no
3452,no
3454,no
3456,no
3457,no
3458,no
3461,no
3462,no
3463,no
3464,no
3465,no
3466,no
3467,no
3471,no
3472,no
3473,no
3474,no
3475,no
3476,no
3477,no
3478,no
3479,no
3480,no
3482,no
3485,no
3486,no
3488,no
3489,no
3490,no
3492,no
3493,no
3494,no
3495,no
3496,no
3497,no
3498,no
3500,no
3501,no
3502,no
3503,no
3504,no
3505,no
3506,yes
3507,no
3508,no
3509,no
3510,no
3511,no
3512,no
3513,no
3514,no
3515,no
3516,no
3517,no
3518,no
3521,no
3522,no
3523,no
3524,no
3525,no
3526,no
3527,no
3528,no
3529,no
3530,no
3531,no
3532,no
3533,no
3535,no
3537,no
3538,no
3539,no
3540,no
3542,no
3543,no
3544,no
3545,yes
3546,no
3547,no
3548,no
3549,no
3550,no
3551,no
3553,no
3556,no
3557,no
3560,no
3562,no
3563,no
3565,no
3566,yes
3567,no
3568,no
3569,no
3570,yes
3572,no
3573,no
3575,no
3576,yes
3579,no
3580,no
3583,no
3584,no
3585,no
3586,no
3587,no
3588,no
3589,no
3590,no
3591,no
3592,no
3593,no
3594,no
3595,no
3597,no
3598,no
3599,no
3600,no
3601,no
3602,no
3605,no
3606,no
3607,no
3608,yes
3609,no
3610,no
3611,no
3612,no
3616,no
3617,no
3618,no
3619,no
3620,no
3623,no
3624,no
3625,no
3628,yes
3629,no
3631,no
3632,no
3633,no
3634,no
3635,no
3637,no
3640,no
3641,no
3642,no
3644,no
3645,no
3646,no
3647,no
3649,no
3650,no
3651,no
3652,no
3653,no
3654,no
3655,no
3656,no
3657,no
3658,no
3659,no
3660,no
3662,no
3664,no
3668,no
3669,no
3671,no
3672,no
3673,no
3675,no
3676,no
3677,yes
3678,no
3680,no
3681,no
3682,no
3683,no
3685,yes
3686,no
3687,no
3688,no
3690,no
3691,no
3692,no
3693,yes
3694,no
3697,yes
3698,no
3700,no
3701,no
3702,no
3703,no
3704,no
3705,no
3706,no
